tree_length,branch_length_min,branch_length_max,branch_length_median,branch_length_var,node_age_min,node_age_max,node_age_median,node_age_var,EDR_min,EDR_max,EDR_median,EDR_var,InverseES_min,InverseES_max,InverseES_median,InverseES_var,gamma_stat,Colless_index,num_lineages_surviving,root_age,n_sampled_anc,n_fossils
781.5765,0,39.68724,1.589332,29.62007,0.003220523,80.53326,3.091277,196.7908,0.01302182,44.2346,3.759495,68.03242,0.0299568,0.9439321,0.1795362,0.03593501,5.966366,417,118,52.74225,0,1
778.4365,0,30.81459,1.576558,29.92409,0.06339259,80.53326,3.115445,209.4439,0.1354039,64.84381,4.140081,91.88291,0.02845815,0.6520982,0.2210536,0.02344367,6.832945,402,119,50.9975,0,2
695.0616,0,26.38305,1.602713,21.65582,0.005277233,80.53326,3.093368,168.0302,0.2254876,45.55537,4.318518,67.63437,0.03455108,1.230512,0.2252742,0.05087615,5.891039,491,121,54.29486,0,4
758.0291,0,25.29165,1.931271,19.60236,0.001568909,80.53326,3.108328,156.6956,0.04309364,38.89595,3.970732,55.53363,0.05293703,1.536081,0.1797075,0.08354525,4.537362,423,121,41.15912,0,4
680.2612,0,25.29165,1.608758,19.733,0.007333197,80.53326,3.009713,160.0399,0.02540149,51.51898,3.445256,58.55538,0.03730865,0.8473072,0.2474616,0.03485869,4.878796,490,120,42.44077,0,3
670.6243,0,25.29165,1.652337,19.00826,0.003622623,80.53326,3.153798,174.9713,0.01142816,41.04819,3.651997,58.01983,0.04314588,1.218884,0.2193387,0.04388173,5.369262,465,118,37.94042,0,1
799.9732,0.009076986,39.33878,1.863663,32.79786,0.009076986,80.53326,2.960152,211.0104,0.0141036,42.19466,3.572004,71.08921,0.02107403,0.891545,0.2046885,0.03578629,6.306753,407,119,60.99502,0,2
674.2684,0,39.33878,1.374618,29.93242,0.01830753,80.53326,2.383609,198.3739,0.06893573,46.3001,3.274216,64.06291,0.04261786,0.7571766,0.2335095,0.03520928,5.996866,412,118,39.11509,0,1
581.1008,0,25.73718,1.44477,17.78365,0.0222677,80.53326,2.850797,159.2263,0.002887229,28.52913,3.095308,31.49235,0.03476536,1.425642,0.2460693,0.09099849,5.001625,383,119,34.29928,0,2
857.3917,0.008027798,31.57561,1.495607,32.05598,0.008027798,80.53326,3.161535,224.616,0.07719416,63.83873,4.304778,93.27744,0.0222032,0.6575881,0.1899169,0.02230816,6.717231,611,120,61.42005,0,3
832.2869,0,25.29165,1.768325,23.17033,0.02633518,80.53326,3.631536,169.0173,0.00404335,56.30328,5.033837,77.32682,0.04329357,0.7818283,0.1737991,0.02590593,4.431599,335,121,42.63925,0,4
664.9875,0.01229565,25.29165,1.713322,19.60491,0.01335059,80.53326,2.646961,166.6382,0.1090646,39.63019,3.278682,57.82964,0.03838748,1.41071,0.2301821,0.04996412,5.249322,328,119,45.00657,0,2
489.334,0.01494471,25.29165,1.464177,14.51207,0.0169048,80.53326,3.015003,148.0548,0.01015864,18.09653,2.908017,13.45551,0.06624519,1.388932,0.3014493,0.05146807,0.9385692,581,117,23.65225,0,0
666.8536,0.01077527,39.42918,1.427009,28.29452,0.04323117,80.53326,2.868841,184.5524,0.005754535,50.92359,2.991087,52.60905,0.02380381,3.488428,0.2423691,0.1737434,6.217608,730,118,44.59098,0,1
622.6587,0.002974281,27.07561,1.400209,20.66509,0.002974281,80.53326,2.129013,191.0409,0.1040988,39.43244,2.49987,50.35599,0.04953966,0.9672716,0.236819,0.03121406,6.388487,393,117,44.25634,0,0
641.4704,0.01026875,25.29165,1.617822,17.72112,0.01286315,80.53326,3.011552,177.0511,0.2769984,31.16326,3.646976,32.12163,0.04209684,1.343386,0.2101341,0.06704086,4.161731,449,117,34.40242,0,0
885.4315,0,42.97944,1.804404,35.38626,0.02132358,93.09404,3.103787,252.5592,0.01617596,100.1346,4.303561,190.802,0.02571026,0.8820383,0.1645013,0.02422855,7.643896,332,119,93.09404,0,2
794.1099,0,42.97944,1.845903,28.11312,0.0006389929,93.09404,3.193206,229.3172,0.001157928,44.38359,4.578486,56.0854,0.04488564,0.7847646,0.1692797,0.01740106,4.358068,286,118,35.27323,0,1
732.4772,0.001617454,42.97944,1.543228,30.65847,0.001617454,93.09404,2.808257,231.0678,0.002010937,34.9253,4.062421,47.28235,0.04207817,0.9252899,0.1929409,0.04014799,5.453616,400,118,39.46543,0,1
748.7731,0,44.2603,1.545361,31.60473,0.02141847,80.53326,3.051773,198.2457,0.001169545,56.37833,3.284204,90.17211,0.02259361,1.115173,0.2518797,0.04764416,6.038099,335,121,69.49063,0,4
672.1215,0,26.11154,1.244146,19.16115,0.0003130608,57.19999,2.870901,123.381,0.004891525,55.64944,3.255328,68.175,0.03241409,1.571985,0.2574527,0.08177785,5.72952,392,122,44.72232,0,5
957.4723,0.01986706,42.00037,1.943097,35.74412,0.04048646,64.0846,4.250022,174.8964,0.04622436,41.26807,5.539435,78.19265,0.0275946,1.27381,0.1553343,0.07378812,4.894839,480,117,64.0846,0,0
593.4965,0.003535179,39.28975,1.333377,27.03272,0.003535179,57.19999,2.212157,162.0302,0.1148309,66.88845,2.750394,75.96316,0.02304966,1.480761,0.2874191,0.09789516,7.474777,587,118,52.93282,0,1
877.2832,0,43.5258,1.465042,34.26797,0.001695964,59.52433,3.422372,192.1995,0.01538348,82.12684,4.597622,118.4024,0.02751218,1.214369,0.1853141,0.03466969,6.418164,335,121,59.52433,0,4
780.7497,0,42.25846,1.642462,27.11985,0.0002065449,76.26462,3.429284,174.6837,0.02499193,77.83329,3.334111,118.2932,0.02874805,0.5356456,0.2031209,0.01458084,6.420087,359,121,76.26462,0,4
884.7061,0,39.60638,1.512439,40.14194,0.02774361,88.99476,2.552273,277.181,0.04598121,73.9928,3.796315,159.6377,0.03622231,1.119909,0.1989659,0.04071959,8.04669,385,119,88.99476,0,2
600.2362,0.003445968,36.9964,1.582033,21.14686,0.003445968,88.99476,2.352207,227.817,0.06676203,48.4562,3.210739,45.2682,0.05249681,1.221235,0.2468398,0.05290599,5.003432,325,118,30.65012,0,1
857.922,0,52.74564,1.907541,28.42685,0.003246918,93.21975,3.791733,179.6153,0.0604832,105.4913,5.538643,152.4491,0.0310674,0.7673007,0.1703345,0.02740829,5.66475,398,121,93.21975,0,4
671.9397,0.001554351,52.74564,1.368579,30.09914,0.03792112,93.21975,2.395678,200.1458,0.008393731,43.24354,3.416207,58.0954,0.04712492,1.114695,0.2191067,0.03535418,6.202966,415,117,40.0414,0,0
633.4408,0,52.74564,1.452841,23.02738,0.03621306,93.21975,2.637943,168.5328,0.003210792,40.22457,3.679362,39.71652,0.06548142,0.8762632,0.2397118,0.03053376,4.426595,329,120,35.97645,0,3
1023.442,0.000877408,52.74564,2.334675,42.73877,0.000877408,93.21975,3.373205,249.0027,0.008324856,65.76492,4.731194,130.8578,0.02668088,1.082143,0.1342951,0.0350694,5.613715,275,119,56.61857,0,2
841.9935,0.008924284,52.74564,2.029028,38.20086,0.008924284,93.21975,3.357577,235.3026,0.06764315,59.71783,4.240128,77.65853,0.02763027,0.5901047,0.172193,0.01543945,5.128861,369,117,49.01298,0,0
754.6612,0.02093431,52.74564,1.588401,38.79115,0.02093431,93.21975,2.395671,251.4611,0.1848817,39.97138,3.716208,78.96662,0.05322833,1.202607,0.1842546,0.0432211,7.393503,284,118,68.43098,0,1
639.2807,0,52.74564,1.704694,22.39831,0.01267625,93.21975,3.396868,167.0802,0.008246265,23.86754,3.763091,27.521,0.04817891,0.7520224,0.2150794,0.02295678,2.911616,461,119,33.17772,0,2
697.7776,0,52.74564,1.73783,24.847,0.009359966,93.21975,3.485491,166.8129,0.01285226,41.71852,3.446163,48.98133,0.05734295,1.757678,0.2009677,0.08473192,3.542009,324,120,37.38888,0,3
739.4931,0.02061078,52.74564,1.674467,27.22005,0.02061078,93.21975,3.173378,186.6298,0.01639141,48.7026,4.46929,63.9612,0.03598091,1.474362,0.211779,0.1124036,5.026345,479,120,41.38741,0,3
672.4377,0.01779141,52.74564,1.52444,25.90182,0.05773667,93.21975,2.882812,199.9513,0.05152704,44.79672,3.417267,49.17226,0.04787137,0.899423,0.2660403,0.02929728,5.944237,390,118,54.25905,0,1
737.1222,0,52.74564,1.428481,32.29701,0.007567438,93.21975,2.565225,203.9117,0.001122987,53.16581,3.759719,75.80576,0.0415227,2.422812,0.2174715,0.08111722,6.677586,508,120,50.37045,0,3
768.5544,0.01365177,52.74564,1.668474,40.24896,0.01365177,93.21975,3.13792,226.4877,0.01596095,62.08693,3.607842,88.49787,0.03317372,1.678237,0.2156844,0.06367948,6.378609,495,119,48.28601,0,2
839.7902,0,52.81842,1.552409,37.99172,0.009218784,57.19999,3.922409,171.0671,0.001372344,68.65337,4.119345,132.9692,0.01893279,1.600004,0.2089382,0.07910795,5.415579,610,121,52.81842,0,4
708.0759,0.002101966,40.81124,1.595979,24.44602,0.003335343,57.19999,2.441669,173.417,0.006158781,58.98064,3.740006,76.91737,0.03661476,0.9459653,0.2233864,0.04613396,5.927107,373,118,54.11405,0,1
782.1793,0,40.81124,1.591238,28.83125,0.002535902,57.19999,3.168657,182.153,0.00250526,82.80357,3.78845,97.05706,0.02295128,1.204796,0.2119222,0.05234858,5.254979,330,118,51.73862,0,1
909.6654,0.02202242,40.81124,1.68113,34.1705,0.07361493,57.19999,3.658361,207.8045,0.04585954,44.98318,4.231573,75.74442,0.03169479,0.8681584,0.1724787,0.02622141,5.97924,421,118,54.37637,0,1
574.8698,0,25.26016,1.22022,14.60846,0.01488034,57.19999,1.891529,118.6812,0.007393184,25.73142,2.290098,36.07433,0.05429388,1.42291,0.2356301,0.0803653,4.911308,388,120,30.29202,0,3
663.9888,0.01184629,25.26016,1.847742,11.89915,0.01184629,57.19999,3.335232,119.2934,0.01858095,24.36516,3.7528,30.78465,0.05500856,1.419115,0.1987215,0.06181446,2.350588,304,117,28.17084,0,0
793.1455,0,36.74623,1.756665,31.48378,0.04058076,57.19999,3.241167,163.9561,0.05634938,43.49216,3.419056,74.35619,0.02667606,0.7574394,0.2108366,0.02825085,5.892596,523,118,47.51621,0,1
638.5546,0.006775473,26.84265,1.195907,18.28827,0.006775473,57.19999,2.196266,140.52,0.03295096,34.97287,3.4636,43.98303,0.03333561,1.586222,0.2286234,0.09792287,6.045364,399,119,34.19078,0,2
799.2783,0.001521414,63.94622,1.477439,39.89685,0.001521414,63.94622,2.248582,199.9393,0.009720073,88.80434,3.327013,125.6355,0.01563814,1.400822,0.248513,0.0726748,7.403747,529,118,63.94622,0,1
706.9711,0.02688,31.36226,1.706109,18.49256,0.02688,57.19999,2.973664,128.5432,0.004626144,31.331,4.564282,41.31012,0.05113008,0.9605684,0.2276638,0.04155243,4.823925,369,121,51.28828,0,4
700.4012,0,31.36226,1.667835,21.97476,0.01241675,57.19999,3.311835,134.2797,0.01395769,41.27793,3.875962,49.81768,0.04645965,0.9212905,0.2284922,0.03687584,3.64455,562,118,36.51206,0,1
719.5322,0.001846562,44.88158,1.393829,35.33238,0.001846562,57.19999,2.650851,180.4015,0.01372288,62.77419,3.160841,79.72494,0.02993176,1.834576,0.1913458,0.1105365,6.735557,415,117,53.3838,0,0
737.7941,0,28.27149,1.735011,18.66777,0.02361363,57.19999,2.726568,109.2449,0.007736899,56.45919,4.297667,60.89429,0.03677809,0.6336007,0.1910123,0.0205173,3.930337,317,122,46.00206,0,5
