"","parent","par.name","child","chi.name","edge.length","depth","age","status"
"21",132,"node12",133,"node13",5.39360029076882,46.1926690224789,11.0817582,"node"
"22",133,"node13",134,"node14",1.07789133493072,47.2705603574096,10.0038669,"node"
"23",134,"node14",135,"node15",7.66815677528347,54.938717132693,2.3357101,"node"
"27",133,"node13",136,"node16",7.26322143853732,53.4558904610162,3.8185368,"node"
"28",136,"node16",137,"node17",2.67006880939611,56.1259592704123,1.148468,"node"
"32",132,"node12",138,"node18",4.34198677695618,45.1410555086662,12.1333718,"node"
"35",131,"node11",139,"node19",5.30748941109223,40.3529892972503,16.921438,"node"
"36",139,"node19",140,"node20",1.18926253992072,41.542251837171,15.7321754,"node"
"37",140,"node20",141,"node21",12.1017749949173,53.6440268320883,3.6304004,"node"
"40",140,"node20",142,"node22",5.4530583423643,46.9953101795353,10.2791171,"node"
"41",142,"node22",143,"node23",7.52303906548784,54.5183492450231,2.756078,"node"
"42",143,"node23",144,"node24",2.53055142157912,57.0489006666023,0.2255266,"node"
"46",142,"node22",145,"node25",9.02780629967783,56.0231164792131,1.2513108,"node"
"50",121,"node1",146,"node26",16.9668587367541,16.9668587367541,40.3075685,"node"
"51",146,"node26",147,"node27",9.56269056514271,26.5295493018968,30.744878,"node"
"52",147,"node27",148,"node28",6.28058734119462,32.8101366430914,24.4642906,"node"
"53",148,"node28",149,"node29",9.61263624228716,42.4227728853786,14.8516544,"node"
"54",149,"node29",150,"node30",4.18687466968103,46.6096475550596,10.6647797,"node"
"55",150,"node30",151,"node31",6.23371265568983,52.8433602107494,4.4310671,"node"
"60",148,"node28",152,"node32",5.24692149683748,38.0570581399289,19.2173691,"node"
"61",152,"node32",153,"node33",18.5075135534963,56.5645716934252,0.7098556,"node"
"62",153,"node33",154,"node34",0.120821291602534,56.6853929850277,0.5890343,"node"
"67",147,"node27",155,"node35",18.7070062813186,45.2365555832154,12.0378717,"node"
"68",155,"node35",156,"node36",11.6051575534251,56.8417131366405,0.4327141,"node"
"69",156,"node36",157,"node37",0.387946504087165,57.2296596407277,0.0447676,"node"
"72",156,"node36",158,"node38",0.119960593287944,56.9616737299285,0.3127535,"node"
"74",158,"node38",159,"node39",0.0242660899898344,56.9859398199183,0.2884874,"node"
"77",155,"node35",160,"node40",3.07195005721688,48.3085056404323,8.9659216,"node"
"78",160,"node40",161,"node41",2.61587375964537,50.9243794000777,6.3500479,"node"
"80",161,"node41",162,"node42",3.90833456666231,54.83271396674,2.4417133,"node"
"83",160,"node40",163,"node43",2.68556340361329,50.9940690440456,6.2803582,"node"
"85",163,"node43",164,"node44",0.0469872048307867,51.0410562488764,6.233371,"node"
"87",164,"node44",165,"node45",5.1880154116658,56.2290716605422,1.0453556,"node"
"90",146,"node26",166,"node46",3.53877378144801,20.5056325182021,36.7687947,"node"
"91",166,"node46",167,"node47",20.3282393112199,40.833871829422,16.4405554,"node"
