taxon	min	max
t874_1	1.1156171	3.3468513
t1228_1	11.1887158735767	22.6436013264233
t1245_1	12.3858558735767	23.8407413264233
t623_1	0	0
t18_1	0	0
t274_1	0	0
t673_1	0	0
t278_1	0	0
t210_1	0	0
t711_1	0	0
t16_1	0	0
t72_1	0	0
t153_1	0	0
t347_1	0	0
t665_1	0	0
t776_1	0	0
t202_1	0	0
t324_1	0	0
t158_1	0	0
t443_1	0	0
t552_1	0	0
t283_1	0	0
t5_1	0	0
t437_1	0	0
t853_1	0	0
t675_1	0	0
t257_1	0	0
t493_1	0	0
t848_1	0	0
t190_1	0	0
t612_1	0	0
t232_1	0	0
t400_1	0	0
t695_1	0	0
t402_1	0	0
t69_1	0	0
t606_1	0	0
t201_1	0	0
t138_1	0	0
t273_1	0	0
t463_1	0	0
t415_1	0	0
t369_1	0	0
t583_1	0	0
t597_1	0	0
t700_1	0	0
t816_1	0	0
t517_1	0	0
t54_1	0	0
t213_1	0	0
t472_1	0	0
t354_1	0	0
t317_1	0	0
t383_1	0	0
t873_1	0	0
t298_1	0	0
t783_1	0	0
t765_1	0	0
t487_1	0	0
t532_1	0	0
t231_1	0	0
t752_1	0	0
t208_1	0	0
t157_1	0	0
t385_1	0	0
t275_1	0	0
t293_1	0	0
t566_1	0	0
t96_1	0	0
t763_1	0	0
t546_1	0	0
t12_1	0	0
t702_1	0	0
t820_1	0	0
t228_1	0	0
t614_1	0	0
t824_1	0	0
t647_1	0	0
t842_1	0	0
t253_1	0	0
t792_1	0	0
t42_1	0	0
t538_1	0	0
t889_1	0	0
t380_1	0	0
t859_1	0	0
t272_1	0	0
t553_1	0	0
t308_1	0	0
t801_1	0	0
t838_1	0	0
t503_1	0	0
t57_1	0	0
t271_1	0	0
t490_1	0	0
t809_1	0	0
t248_1	0	0
t574_1	0	0
t875_1	0	0
t485_1	0	0
t67_1	0	0
t92_1	0	0
t224_1	0	0
t250_1	0	0
t643_1	0	0
t361_1	0	0
t457_1	0	0
t46_1	0	0
t254_1	0	0
t535_1	0	0
t230_1	0	0
t194_1	0	0
t465_1	0	0
t431_1	0	0
t161_1	0	0
t479_1	0	0
t492_1	0	0
t63_1	0	0
t603_1	0	0
t769_1	0	0
