taxon	min	max
t513_1	8.40199073621056	19.3234604637894
t274_1	19.5950302362106	30.5164999637894
t1312_1	2.17210045	6.51630135
t593_1	0	0
t13_1	0	0
t606_1	0	0
t664_1	0	0
t563_1	0	0
t330_1	0	0
t446_1	0	0
t52_1	0	0
t452_1	0	0
t382_1	0	0
t483_1	0	0
t576_1	0	0
t526_1	0	0
t304_1	0	0
t544_1	0	0
t402_1	0	0
t504_1	0	0
t698_1	0	0
t334_1	0	0
t708_1	0	0
t647_1	0	0
t165_1	0	0
t500_1	0	0
t65_1	0	0
t7_1	0	0
t393_1	0	0
t515_1	0	0
t648_1	0	0
t466_1	0	0
t396_1	0	0
t360_1	0	0
t333_1	0	0
t124_1	0	0
t144_1	0	0
t604_1	0	0
t56_1	0	0
t349_1	0	0
t532_1	0	0
t214_1	0	0
t275_1	0	0
t530_1	0	0
t670_1	0	0
t175_1	0	0
t680_1	0	0
t18_1	0	0
t190_1	0	0
t20_1	0	0
t322_1	0	0
t509_1	0	0
t67_1	0	0
t342_1	0	0
t244_1	0	0
t249_1	0	0
t684_1	0	0
t285_1	0	0
t584_1	0	0
t213_1	0	0
t286_1	0	0
t188_1	0	0
t74_1	0	0
t272_1	0	0
t95_1	0	0
t71_1	0	0
t622_1	0	0
t180_1	0	0
t149_1	0	0
t463_1	0	0
t429_1	0	0
t669_1	0	0
t701_1	0	0
t242_1	0	0
t102_1	0	0
t531_1	0	0
t683_1	0	0
t211_1	0	0
t434_1	0	0
t481_1	0	0
t206_1	0	0
t419_1	0	0
t31_1	0	0
t412_1	0	0
t689_1	0	0
t394_1	0	0
t207_1	0	0
t552_1	0	0
t140_1	0	0
t627_1	0	0
t233_1	0	0
t170_1	0	0
t495_1	0	0
t326_1	0	0
t368_1	0	0
t361_1	0	0
t717_1	0	0
t370_1	0	0
t222_1	0	0
t538_1	0	0
t195_1	0	0
t305_1	0	0
t276_1	0	0
t464_1	0	0
t612_1	0	0
t548_1	0	0
t250_1	0	0
t578_1	0	0
t457_1	0	0
t471_1	0	0
t226_1	0	0
t281_1	0	0
t46_1	0	0
t695_1	0	0
t546_1	0	0
t524_1	0	0
t93_1	0	0
t72_1	0	0
t547_1	0	0
t169_1	0	0
