"","parent","par.name","child","chi.name","edge.length","depth","age","status"
"48",146,"node26",1,"t593_1",7.6199024034994,54.6073486378943,0,"extant"
"193",218,"node98",2,"t13_1",3.65785644347025,54.6073486378943,0,"extant"
"124",183,"node63",3,"t606_1",2.01140872168385,54.6073486378943,0,"extant"
"17",131,"node11",4,"t664_1",0.414632105168369,54.6073486378943,0,"extant"
"92",167,"node47",5,"t563_1",0.86555926379832,54.6073486378943,0,"extant"
"195",220,"node100",6,"t330_1",0.0454340902435787,54.6073486378943,0,"extant"
"13",128,"node8",7,"t446_1",8.6886391579687,54.6073486378943,0,"extant"
"180",211,"node91",8,"t52_1",0.497224350928091,54.6073486378943,0,"extant"
"114",179,"node59",9,"t452_1",1.08881555074243,54.6073486378944,0,"extant"
"215",229,"node109",10,"t382_1",1.58911856763678,54.6073486378943,0,"extant"
"42",143,"node23",11,"t483_1",0.251998368349082,54.6073486378944,0,"extant"
"77",160,"node40",12,"t576_1",0.856914785183065,54.6073486378943,0,"extant"
"167",207,"node87",13,"t526_1",0.587237096098795,54.6073486378944,0,"extant"
"26",133,"node13",14,"t304_1",2.07750819136105,54.6073486378943,0,"extant"
"18",131,"node11",15,"t544_1",0.414632105168369,54.6073486378943,0,"extant"
"198",221,"node101",16,"t402_1",10.006235813584,54.6073486378943,0,"extant"
"209",226,"node106",17,"t504_1",7.11583104215346,54.6073486378943,0,"extant"
"67",155,"node35",18,"t698_1",1.47134527607194,54.6073486378943,0,"extant"
"192",219,"node99",19,"t334_1",1.45957569116425,54.6073486378943,0,"extant"
"176",200,"node80",20,"t708_1",12.4815242535005,54.6073486378943,0,"extant"
"3",123,"node3",21,"t647_1",4.09518917524518,54.6073486378943,0,"extant"
"172",208,"node88",22,"t165_1",0.950865873208884,54.6073486378944,0,"extant"
"122",180,"node60",23,"t500_1",3.63582812769838,54.6073486378943,0,"extant"
"202",223,"node103",24,"t65_1",0.21770672775993,54.6073486378943,0,"extant"
"62",153,"node33",25,"t7_1",0.753423845704461,54.6073486378943,0,"extant"
"208",226,"node106",26,"t393_1",7.11583104215346,54.6073486378943,0,"extant"
"41",143,"node23",27,"t515_1",0.251998368349082,54.6073486378944,0,"extant"
"226",234,"node114",28,"t648_1",0.0291237074565135,54.6073486378943,0,"extant"
"225",234,"node114",29,"t466_1",0.0291237074565135,54.6073486378943,0,"extant"
"20",129,"node9",30,"t396_1",3.18332021581381,54.6073486378943,0,"extant"
"102",173,"node53",31,"t360_1",0.390569243184293,54.6073486378943,0,"extant"
"105",175,"node55",32,"t333_1",4.34420087894364,54.6073486378944,0,"extant"
"235",238,"node118",33,"t124_1",14.5154546483705,54.6073486378943,0,"extant"
"199",221,"node101",34,"t144_1",10.006235813584,54.6073486378943,0,"extant"
"52",148,"node28",35,"t604_1",1.52735688175802,54.6073486378943,0,"extant"
"233",236,"node116",36,"t56_1",0.544080635056013,54.6073486378944,0,"extant"
"68",155,"node35",37,"t349_1",1.47134527607194,54.6073486378943,0,"extant"
"10",127,"node7",38,"t532_1",1.01242828564848,54.6073486378943,0,"extant"
"101",173,"node53",39,"t214_1",0.390569243184293,54.6073486378943,0,"extant"
"39",142,"node22",40,"t275_1",0.81819011892244,54.6073486378943,0,"extant"
"45",144,"node24",41,"t530_1",2.50305669683237,54.6073486378943,0,"extant"
"19",130,"node10",42,"t670_1",1.02412133412686,54.6073486378943,0,"extant"
"73",159,"node39",43,"t175_1",0.477518778316567,54.6073486378943,0,"extant"
"191",219,"node99",44,"t680_1",1.45957569116425,54.6073486378943,0,"extant"
"237",239,"node119",45,"t18_1",1.42023514848245,54.6073486378943,0,"extant"
"120",182,"node62",46,"t190_1",0.219877767532765,54.6073486378943,0,"extant"
"8",126,"node6",47,"t20_1",3.85569028895938,54.6073486378943,0,"extant"
"112",178,"node58",48,"t322_1",0.619308320000912,54.6073486378943,0,"extant"
"44",144,"node24",49,"t509_1",2.50305669683237,54.6073486378943,0,"extant"
"54",149,"node29",50,"t67_1",0.477992765937487,54.6073486378943,0,"extant"
"219",231,"node111",51,"t342_1",0.0223125918683902,54.6073486378943,0,"extant"
"159",202,"node82",52,"t244_1",8.97257418825955,54.6073486378944,0,"extant"
"4",123,"node3",53,"t249_1",4.09518917524518,54.6073486378943,0,"extant"
"228",235,"node115",54,"t684_1",1.38989580398237,54.6073486378944,0,"extant"
"109",177,"node57",55,"t285_1",0.942950777414324,54.6073486378943,0,"extant"
"212",228,"node108",56,"t584_1",0.100939660375964,54.6073486378943,0,"extant"
"196",220,"node100",57,"t213_1",0.0454340902435787,54.6073486378943,0,"extant"
"80",161,"node41",58,"t286_1",0.756804516548753,54.6073486378943,0,"extant"
"61",153,"node33",59,"t188_1",0.753423845704461,54.6073486378943,0,"extant"
"85",162,"node42",60,"t74_1",1.3008476846951,54.6073486378943,0,"extant"
"99",172,"node52",61,"t272_1",0.629365211868673,54.6073486378943,0,"extant"
"161",203,"node83",62,"t95_1",6.11348275599801,54.6073486378944,0,"extant"
"11",127,"node7",63,"t71_1",1.01242828564848,54.6073486378943,0,"extant"
"65",154,"node34",64,"t622_1",1.38059635949228,54.6073486378943,0,"extant"
"28",135,"node15",65,"t180_1",6.19209089206972,54.6073486378944,0,"extant"
"138",191,"node71",66,"t149_1",0.814313104752181,54.6073486378944,0,"extant"
"75",158,"node38",67,"t463_1",1.66132119277139,54.6073486378943,0,"extant"
"169",206,"node86",68,"t429_1",1.20318157293998,54.6073486378944,0,"extant"
"51",148,"node28",69,"t669_1",1.52735688175802,54.6073486378943,0,"extant"
"147",195,"node75",70,"t701_1",1.73505216303771,54.6073486378944,0,"extant"
"174",209,"node89",71,"t242_1",2.71475385731287,54.6073486378944,0,"extant"
"175",209,"node89",72,"t102_1",2.71475385731287,54.6073486378944,0,"extant"
"91",167,"node47",73,"t531_1",0.86555926379832,54.6073486378943,0,"extant"
"55",149,"node29",74,"t683_1",0.477992765937487,54.6073486378943,0,"extant"
"150",196,"node76",75,"t211_1",0.241819994743016,54.6073486378944,0,"extant"
"178",210,"node90",76,"t434_1",8.34254386546381,54.6073486378943,0,"extant"
"133",188,"node68",77,"t481_1",8.29844345575015,54.6073486378943,0,"extant"
"89",166,"node46",78,"t206_1",1.60945999292419,54.6073486378943,0,"extant"
"127",184,"node64",79,"t419_1",0.152827717014411,54.6073486378943,0,"extant"
"64",154,"node34",80,"t31_1",1.38059635949228,54.6073486378943,0,"extant"
"137",191,"node71",81,"t412_1",0.814313104752181,54.6073486378944,0,"extant"
"187",216,"node96",82,"t689_1",5.53279208247862,54.6073486378943,0,"extant"
"223",233,"node113",83,"t394_1",1.65582088627667,54.6073486378943,0,"extant"
"144",192,"node72",84,"t207_1",2.16593428293276,54.6073486378944,0,"extant"
"30",136,"node16",85,"t552_1",2.0982143842725,54.6073486378943,0,"extant"
"31",136,"node16",86,"t140_1",2.0982143842725,54.6073486378943,0,"extant"
"218",231,"node111",87,"t627_1",0.0223125918683902,54.6073486378943,0,"extant"
"168",207,"node87",88,"t233_1",0.587237096098795,54.6073486378944,0,"extant"
"162",203,"node83",89,"t170_1",6.11348275599801,54.6073486378944,0,"extant"
"121",182,"node62",90,"t495_1",0.219877767532765,54.6073486378943,0,"extant"
"131",187,"node67",91,"t326_1",12.4433894358542,54.6073486378944,0,"extant"
"115",179,"node59",92,"t368_1",1.08881555074243,54.6073486378944,0,"extant"
"79",161,"node41",93,"t361_1",0.756804516548753,54.6073486378943,0,"extant"
"118",181,"node61",94,"t717_1",2.18018492070935,54.6073486378943,0,"extant"
"220",230,"node110",95,"t370_1",1.19353413916149,54.6073486378943,0,"extant"
"84",163,"node43",96,"t222_1",0.216784506013723,54.6073486378943,0,"extant"
"57",150,"node30",97,"t538_1",9.40232015420202,54.6073486378943,0,"extant"
"203",223,"node103",98,"t195_1",0.21770672775993,54.6073486378943,0,"extant"
"204",222,"node102",99,"t305_1",0.943403189003308,54.6073486378943,0,"extant"
"181",211,"node91",100,"t276_1",0.497224350928091,54.6073486378943,0,"extant"
"232",237,"node117",101,"t464_1",0.0509042598134584,54.6073486378944,0,"extant"
"25",134,"node14",102,"t612_1",0.0180082385394015,54.6073486378943,0,"extant"
"83",163,"node43",103,"t548_1",0.216784506013723,54.6073486378943,0,"extant"
"213",228,"node108",104,"t250_1",0.100939660375964,54.6073486378943,0,"extant"
"24",134,"node14",105,"t578_1",0.0180082385394015,54.6073486378943,0,"extant"
"148",195,"node75",106,"t457_1",1.73505216303771,54.6073486378944,0,"extant"
"74",159,"node39",107,"t471_1",0.477518778316567,54.6073486378943,0,"extant"
"231",237,"node117",108,"t226_1",0.0509042598134584,54.6073486378944,0,"extant"
"153",197,"node77",109,"t281_1",19.3795741704714,54.6073486378943,0,"extant"
"139",190,"node70",110,"t46_1",2.60482290232119,54.6073486378944,0,"extant"
"126",184,"node64",111,"t695_1",0.152827717014411,54.6073486378943,0,"extant"
"238",239,"node119",112,"t546_1",1.42023514848245,54.6073486378943,0,"extant"
"151",196,"node76",113,"t524_1",0.241819994743016,54.6073486378944,0,"extant"
"143",193,"node73",114,"t93_1",0.143919972066021,54.6073486378944,0,"extant"
"142",193,"node73",115,"t72_1",0.143919972066021,54.6073486378944,0,"extant"
"111",178,"node58",116,"t547_1",0.619308320000912,54.6073486378943,0,"extant"
"171",208,"node88",117,"t169_1",0.950865873208884,54.6073486378944,0,"extant"
"93",165,"node45",118,"t513_1",4.50826358229436,40.7446230207849,13.8627256,"fossil"
"33",137,"node17",119,"t274_1",27.4093314080558,29.5515835736873,25.0557651,"fossil"
"106",175,"node55",120,"t1312_1",0,50.2631477589507,4.3442009,"sampanc"
"1",121,"node1",122,"node2",23.4777114640078,23.4777114640078,31.1296372,"node"
