specimen	min_ma	max_ma
t251_1	0.01644645	0.04933935
t81_1	0.18776035	0.56328105
t357_1	0.15165575	0.45496725
t147_1	0.37055335	1.11166005
t384_1	0.4136984	1.2410952
t391_1	0.27401345	0.82204035
t391_2	0.0581131	0.1743393
t249_1	0.55613515	1.66840545
t262_1	0.1117731	0.3353193
t302_1	0.7354264	2.2062792
t102_1	0.2824028	0.8472084
t356_1	0.3120762	0.9362286
t338_1	0.3460493	1.0381479
t8_1	0.12291326798135	3.29643153201865
t377_1	2.65431566798135	5.82783393201865
t318_1	3.03578616798135	6.20930443201865
t41_1	2.80179046798135	5.97530873201865
t301_1	3.63695716798135	6.81047543201865
t359_1	3.96605396798135	7.13957223201865
t359_2	3.74653996798135	6.92005823201865
t373_1	4.09263966798135	7.26615793201865
t350_1	4.48543606798135	7.65895433201865
t401_1	4.41324656798135	7.58676483201865
t136_1	4.16107786798135	7.33459613201865
t374_1	4.41107516798135	7.58459343201865
t374_2	4.14580176798135	7.31932003201865
t134_1	4.24619226798135	7.41971053201865
t421_1	4.41632656798135	7.58984483201865
t461_1	14.2808321679814	17.4543504320186
t465_1	12.0342007679814	15.2077190320186
t466_1	11.3028575679814	14.4763758320186
t469_1	10.7745909679814	13.9481092320186
t471_1	9.72888066798135	12.9023989320186
t493_1	5.39794176798135	8.57146003201865
t503_1	4.64247216798135	7.81599043201865
t506_1	4.49667886798135	7.67019713201865
t513_1	4.58996106798135	7.76347933201865
t515_1	4.70428656798135	7.87780483201865
t532_1	4.21648766798135	7.39000593201865
t537_1	4.18563976798135	7.35915803201865
t543_1	4.07327976798135	7.24679803201865
t595_1	0.95833206798135	4.13185033201865
t599_1	1.52127386798135	4.69479213201865
t624_1	0.708933467981351	3.88245173201865
t640_1	0.55573656798135	3.72925483201865
t677_1	0.7629792	2.2889376
t679_1	0.13965026798135	3.31316853201865
t745_1	0.382737567981351	3.55625583201865
t772_1	0.4199312	1.2597936
t821_1	0.3622903	1.0868709
t825_1	0.2329067	0.6987201
t846_1	0.35150045	1.05450135
t873_1	0.20238225	0.60714675
