tree_length,branch_length_min,branch_length_max,branch_length_median,branch_length_var,node_age_min,node_age_max,node_age_median,node_age_var,EDR_min,EDR_max,EDR_median,EDR_var,InverseES_min,InverseES_max,InverseES_median,InverseES_var,gamma_stat,Colless_index,num_lineages_surviving,root_age,n_sampled_anc,n_fossils
4362.456,0,116.0061,10.17863,280.4041,1.373427,143.2253,29.35565,929.8178,0.00552,192.2798,23.56093,1427.669,0.007804746,0.1394555,0.03862603,0.000739182,-1.332032,703,140,143.2253,9,23
4467.539,0,116.0061,10.12094,314.3264,1.373426,145.966,27.44304,1107.971,0.052219,255.1849,23.8556,1739.339,0.007649355,0.1511249,0.04006841,0.000798909,-0.2792964,703,140,145.966,10,23
4399.594,0,116.0061,10.51749,302.7016,1.373427,145.9644,29.52733,1047.231,0.387806,225.9742,24.30402,1719.687,0.00779701,0.1775375,0.03973253,0.001019098,-0.779128,589,140,145.9644,10,23
4498.958,0,116.0061,10.14149,319.5047,1.373427,143.9003,29.35565,943.9619,0.549632,278.0566,25.72834,1728.872,0.007826374,0.24574,0.03892931,0.0012485,-1.534821,566,140,143.9003,9,23
4340.727,0,116.0061,10.04768,292.9893,1.373428,142.6625,28.12982,964.5188,0.09855,271.9844,23.78526,1785.78,0.007794767,0.1438452,0.04050605,0.000751194,-1.555434,562,140,142.6625,10,23
4391.862,0,116.0061,10.15868,307.1413,1.373426,145.1334,27.44304,882.3083,0.0011,225.9744,25.94731,1309.54,0.007747062,0.1536172,0.03918736,0.000758644,-1.141296,699,140,145.1334,10,23
4386.581,0,116.0061,10.08976,302.0358,0.711458,144.1789,29.27798,929.1364,0.87424,275.6206,23.28212,1723.141,0.007756161,0.1565211,0.03981412,0.000718833,-0.9732503,585,140,144.1789,10,23
4320.882,0,116.0061,10.55434,288.6241,1.373427,140.238,29.35565,906.4805,0.195096,196.2056,26.49787,1431.723,0.007877888,0.2169261,0.04036148,0.000934068,-1.264905,585,140,140.238,9,23
4214.896,0,116.0061,9.806387,266.3135,1.373427,143.1369,27.34502,946.1821,0.48048,192.2798,22.9006,1489.27,0.007796757,0.1648957,0.04049503,0.000933191,-1.271295,699,140,143.1369,10,23
4307.773,0,116.0061,10.53582,280.5109,1.373426,142.5339,29.35565,987.7539,1.004598,192.2796,27.46017,1417.236,0.007781857,0.1386973,0.04025205,0.000701762,-0.8223332,699,140,142.5339,11,23
