taxon	min	max
Zherichinius_rapax	41.3	47.8
Acanthostichus_hispaniolicus	13.82	20.44
Cylindromyrmex_antillanus	13.82	20.44
Cylindromyrmex_electrinus	13.82	20.44
Cylindromyrmex_inopinatus	13.82	20.44
Neivamyrmex_ectopus	13.82	20.44
Procerapachys_annosus	33.9	38.0
Procerapachys_favosus	33.9	38.0
Procerapachys_sulcatus	33.9	38.0
Canapone_dentata	70.6	83.5
Ectatomma_gracile	5.332999999999999	11.607999999999999
Gnamptogenys_brunoi	13.82	20.44
Gnamptogenys_casca	13.82	20.44
Gnamptogenys_europaea	33.9	38.0
Gnamptogenys_levinates	13.82	20.44
Gnamptogenys_pristina	13.82	20.44
Gnamptogenys_rohdendorfi	33.9	38.0
Pseudectatomma_eocenica	40.4	48.6
Pseudectatomma_striatula	40.4	48.6
Rhytidoponera_gibsoni	20.44	23.03
Rhytidoponera_kirghizorum	5.332999999999999	15.97
Rhytidoponera_waipiata	20.44	23.03
Titanomyrma_gigantea	40.4	48.6
Titanomyrma_lubei	48.6	55.8
Titanomyrma_simillima	40.4	48.6
Acropyga_glaesaria	13.82	20.44
Camponotites_kraussei	47.8	56.0
Camponotites_macropterus	11.607999999999999	15.97
Camponotites_silvestris	2.588	3.6
Camponotites_steinbachi	2.588	3.6
Camponotites_xiejiaheensis	11.607999999999999	15.97
Camponotus_ambon	11.607999999999999	15.97
Camponotus_ampullosus	11.607999999999999	15.97
Camponotus_cockerelli	33.9	38.0
Camponotus_compactus	28.4	33.9
Camponotus_crozei	5.332999999999999	8.7
Camponotus_curviansatus	11.607999999999999	15.97
Camponotus_festinatus	15.97	20.43
Camponotus_festinus	11.607999999999999	15.97
Camponotus_fuscipennis	33.9	37.2
Camponotus_gracilis	11.607999999999999	15.97
Camponotus_heracleus	11.607999999999999	12.7
Camponotus_herculeanus	1.806	2.588
Camponotus_induratus	11.607999999999999	12.7
Camponotus_lignitus	11.607999999999999	12.7
Camponotus_longiventris	23.03	28.1
Camponotus_longus	11.607999999999999	15.97
Camponotus_luteus	11.607999999999999	15.97
Camponotus_mengei	28.4	33.9
Camponotus_microcephalus	33.9	37.2
Camponotus_microthoracus	11.607999999999999	15.97
Camponotus_mitis	11.607999999999999	15.97
Camponotus_novotnyi	28.1	33.9
Camponotus_obesus	7.246	11.62
Camponotus_oeningensis	11.607999999999999	12.7
Camponotus_palaeopterus	11.607999999999999	15.97
Camponotus_penninervis	23.03	28.1
Camponotus_petrifactus	33.9	37.2
Camponotus_pictus	11.607999999999999	15.97
Camponotus_pinguiculus	11.607999999999999	12.7
Camponotus_plenus	11.607999999999999	15.97
Camponotus_shanwangensis	11.607999999999999	15.97
Camponotus_theobaldi	23.03	28.1
Camponotus_tokunagai	48.6	55.8
Camponotus_ullrichi	5.332999999999999	7.246
Camponotus_vehemens	28.4	33.9
Camponotus_vetus	46.2	50.3
Cataglyphoides_constrictus	33.9	38.0
Cataglyphoides_intermedius	33.9	38.0
Chimaeromyrma_brachycephala	41.3	47.8
Conoformica_bitterfeldiana	33.9	38.0
Curtipalpulus_eocenicus	48.6	55.8
Drymomyrmex_claripennis	33.9	38.0
Drymomyrmex_fuscipennis	28.4	33.9
Eoleptocerites_chinensis	48.6	55.8
Eoleptocerites_fushunensis	48.6	55.8
Eurytarsites_fushunensis	48.6	55.8
Formica_alsatica	28.4	33.9
Formica_annosa	41.3	47.8
Formica_arcana	23.03	33.9
Formica_auxillacensis	5.332999999999999	7.246
Formica_bauckhorni	23.03	28.4
Formica_biamoensis	33.9	38.0
Formica_buphthalma	15.97	16.9
Formica_cantalica	7.246	11.62
Formica_ceps	11.607999999999999	15.97
Formica_cockerelli	33.9	37.2
Formica_demersa	11.607999999999999	12.7
Formica_eoptera	33.9	37.2
Formica_flavifemoralis	11.607999999999999	15.97
Formica_flori	28.4	33.9
Formica_fusca	11.607999999999999	15.97
Formica_gibbosa	33.9	38.0
Formica_globiventris	11.607999999999999	12.7
Formica_grandis	33.9	37.2
Formica_gravida	11.607999999999999	12.7
Formica_gustawi	33.9	38.0
Formica_heteroptera	41.3	47.8
Formica_horrida	33.9	38.0
Formica_immersa	11.607999999999999	12.7
Formica_kutscheri	33.9	38.0
Formica_latinodosa	23.03	28.1
Formica_lavateri	11.607999999999999	12.7
Formica_linquensis	11.607999999999999	15.97
Formica_longicollis	11.607999999999999	12.7
Formica_lucida	33.9	38.0
Formica_luteola	33.9	38.0
Formica_macrocephala	11.607999999999999	12.7
Formica_macrognatha	33.9	38.0
Formica_macrophthalma	11.607999999999999	12.7
Formica_maculipennis	5.332999999999999	7.246
Formica_martynovi	11.607999999999999	12.7
Formica_neorufibarbis	0.0117	0.126
Formica_nigra	33.9	38.0
Formica_obscura	11.607999999999999	12.7
Formica_orbata	11.607999999999999	12.7
Formica_ovala	11.607999999999999	15.97
Formica_palaeopolonica	33.9	38.0
Formica_paleosibirica	33.9	38.0
Formica_parexsecta	11.607999999999999	12.7
Formica_parvula	33.9	38.0
Formica_phaethusa	33.9	38.0
Formica_pitoni	2.588	3.6
Formica_primitiva	11.607999999999999	12.7
Formica_primordialis	11.607999999999999	12.7
Formica_procera	11.607999999999999	12.7
Formica_pulchella	11.607999999999999	12.7
Formica_quadrata	33.9	38.0
Formica_radchenkoi	33.9	38.0
Formica_robusta	33.9	37.2
Formica_sepulta	28.4	33.9
Formica_serresi	23.03	28.1
Formica_seuberti	11.607999999999999	12.7
Formica_strangulata	33.9	38.0
Formica_surinamensis	33.9	38.0
Formica_trigona	33.9	38.0
Formica_tripartita	28.4	33.9
Formica_ungeri	11.607999999999999	12.7
Formica_zherikhini	33.9	38.0
Fushuniformica_spinata	48.6	55.8
Gesomyrmex_bremii	11.607999999999999	12.7
Gesomyrmex_breviceps	40.4	48.6
Gesomyrmex_curiosus	40.4	48.6
Gesomyrmex_flavescens	40.4	48.6
Gesomyrmex_germanicus	40.4	48.6
Gesomyrmex_hoernesi	33.9	38.0
Gesomyrmex_incertus	33.9	38.0
Gesomyrmex_macrops	33.9	38.0
Gesomyrmex_magnus	33.9	38.0
Gesomyrmex_pulcher	40.4	48.6
Glaphyromyrmex_oligocenicus	28.4	33.9
Heeridris_croaticus	11.607999999999999	12.7
Huaxiaformica_mallepetiolata	48.6	55.8
Imhoffia_nigra	11.607999999999999	12.7
Imhoffia_pallida	11.607999999999999	12.7
Kyromyrma_neffi	89.8	93.9
Lasius_anthracinus	11.607999999999999	12.7
Lasius_chambonensis	2.588	3.6
Lasius_crispus	7.246	11.62
Lasius_epicentrus	23.03	28.1
Lasius_globularis	23.03	28.1
Lasius_glom	41.3	47.8
Lasius_inflatus	11.607999999999999	15.97
Lasius_longaevus	11.607999999999999	12.7
