specimen	min_ma	max_ma
t231_1	0.00952065	0.02856195
t448_1	0.2213147	0.6639441
t284_1	0.2147689	0.6443067
t224_1	0.23182075	0.69546225
t80_1	0.2384582	0.7153746
t256_1	0.1529875	0.4589625
t407_1	0.1839209	0.5517627
t66_1	0.31973055	0.95919165
t176_1	0.36379933782104	2.44512746217896
t64_1	0.03555445	0.10666335
t423_1	0.10765115	0.32295345
t346_1	0.3930849	1.1792547
t346_2	0.2168798	0.6506394
t366_1	0.18493445	0.55480335
t293_1	0.37839845	1.13519535
t32_1	0.3914835	1.1744505
t198_1	1.22694863782104	3.30827676217896
t94_1	2.70848323782104	4.78981136217896
t41_1	0.99291553782104	3.07424366217896
t433_1	1.22693393782104	3.30826206217896
t199_1	1.65546263782104	3.73679076217896
t363_1	2.16986023782104	4.25118836217896
t217_1	4.28120473782104	6.36253286217896
t193_1	5.99174323782104	8.07307136217896
t307_1	6.33943073782104	8.42075886217896
t455_1	7.52199633782104	9.60332446217896
t460_1	7.98330223782104	10.064630362179
t489_1	5.06174433782104	7.14307246217896
t503_1	4.10809893782104	6.18942706217896
t533_1	3.25170943782104	5.33303756217896
t534_1	3.10129013782104	5.18261826217896
t567_1	3.72084843782104	5.80217656217896
t574_1	2.23082623782104	4.31215436217896
t576_1	2.35207443782104	4.43340256217896
t576_2	1.62293733782104	3.70426546217896
t599_1	3.03443403782104	5.11576216217896
t607_1	1.12907883782104	3.21040696217896
t642_1	3.01876853782104	5.10009666217896
t652_1	1.35002483782104	3.43135296217896
t658_1	3.53111883782104	5.61244696217896
t745_1	0.0240677378210401	2.10539586217896
t759_1	0.4330683	1.2992049
t784_1	0.47973595	1.43920785
t789_1	0.5167378	1.5502134
t808_1	0.25561833782104	2.33694646217896
t809_1	0.3779888	1.1339664
t813_1	0.348802	1.046406
t818_1	0.43132735	1.29398205
t819_1	0.35486055	1.06458165
t838_1	0.2145068	0.6435204
t851_1	0.2875032	0.8625096
t886_1	0.14154115	0.42462345
t887_1	0.0596716	0.1790148
