tree_length,branch_length_min,branch_length_max,branch_length_median,branch_length_var,node_age_min,node_age_max,node_age_median,node_age_var,EDR_min,EDR_max,EDR_median,EDR_var,InverseES_min,InverseES_max,InverseES_median,InverseES_var,gamma_stat,Colless_index,num_lineages_surviving,root_age,n_sampled_anc,n_fossils
4579.03,0,123.1388,10.61329,309.4967,0.815644,141.2837,31.10579,919.0518,0.032016,171.4878,27.12474,1261.718,0.007613458,0.2682055,0.03707148,0.001413608,-1.011033,657,140,141.2837,5,23
4603.113,0,123.1388,11.41566,310.7837,0.815644,139.8042,28.44569,944.2208,0.034224,171.4878,26.87258,1214.964,0.007606211,0.1710276,0.03737929,0.000895227,-0.6724755,772,140,139.8042,4,23
4584.99,0,123.1388,10.70627,312.0731,0.815645,145.4037,27.8459,919.6002,0.034224,171.4878,28.04095,1227.587,0.007447611,0.1775728,0.0373895,0.0009235378,-0.999316,772,140,145.4037,5,23
4674.445,0,123.1388,10.70627,321.3127,0.815644,142.9771,28.542,1004.089,0.036432,146.69,29.20933,1160.161,0.007515523,0.1710346,0.03739014,0.0008866712,-0.9976325,772,140,142.9771,5,23
4634.452,0,123.1388,10.61329,312.2632,0.815645,139.8617,27.65679,1006.377,0.035328,142.8542,32.89441,1138.521,0.007725731,0.1712955,0.03737864,0.000905033,-1.084747,659,140,139.8617,5,23
4596.7,0,123.1388,10.5564,310.7274,0.815645,143.849,30.47982,992.2166,0.036432,171.4878,26.5176,1337.335,0.007521111,0.1926399,0.03725726,0.001060311,-0.8239638,772,140,143.849,4,23
4638.299,0,123.1388,11.71759,307.1467,0.815644,143.0889,29.05052,922.1884,0.036432,171.4878,27.71175,1200.904,0.007517382,0.1710278,0.03707434,0.0009474224,-1.507432,772,140,143.0889,3,23
4674.087,0,123.1388,11.69478,317.373,0.815644,142.3553,30.47982,945.4247,0.034224,171.4878,24.39806,1387.729,0.007598369,0.1848859,0.03684314,0.001052348,-1.63043,657,140,142.3553,5,23
4810.968,0,123.1388,11.95142,305.3114,0.815645,146.2344,29.43924,1016.626,0.037536,171.4878,28.04095,1277.07,0.007464198,0.171034,0.03442361,0.0008799033,-1.155284,769,140,146.2344,3,23
4753.239,0,123.1388,11.71759,321.5762,0.815646,144.6012,29.43925,1006.754,0.034224,171.4878,27.5994,1273.95,0.007581847,0.1710321,0.03644023,0.0008421729,-0.7479334,659,140,144.6012,6,23
4634.892,0,123.1388,11.42953,303.8881,0.815644,144.6424,31.66298,1031.484,0.03864,171.4878,28.76558,1337.612,0.007548659,0.1881483,0.03786191,0.001018329,-1.575701,769,140,144.6424,4,23
4795.536,0,123.1388,10.70627,353.171,0.815645,147.6902,29.05052,1060.466,0.03312,170.2081,27.21068,1260.8,0.007515133,0.1710337,0.03605269,0.0008881059,-1.328077,769,140,147.6902,4,23
4756.788,0,123.1388,10.70627,350.7395,0.815644,148.1885,28.542,1021.657,0.035328,171.4878,26.82196,1302.215,0.00737117,0.1710352,0.03709088,0.0009270849,-1.0516,884,140,148.1885,4,23
4736.636,0,123.1388,11.71759,334.5508,0.815645,142.3292,30.47982,948.395,0.035328,150.5001,28.41992,1217.563,0.007547987,0.1710278,0.03737964,0.0009657929,-1.632422,657,140,142.3292,6,23
4805.017,0,123.1388,11.71759,304.0499,0.815645,147.4766,29.43924,1039.375,0.036432,171.4878,26.89091,1285.665,0.007441998,0.1710339,0.03665918,0.0008453652,-1.604896,769,140,147.4766,3,23
4725.806,0,123.1388,11.50261,309.5436,0.815645,139.9957,29.43924,999.0677,0.035328,171.4878,28.04095,1262.012,0.007677417,0.1710357,0.03644812,0.0009310442,-1.005741,769,140,139.9957,3,23
4758.662,0,123.1388,10.61329,338.8394,0.815644,145.2345,29.43924,1117.475,0.03864,171.4878,30.52695,1308.999,0.007631914,0.1710341,0.03731189,0.0009180332,-0.4104828,769,140,145.2345,3,23
4693.008,0,123.1388,11.44706,302.1341,0.815644,145.5772,28.542,1002.09,0.037536,171.4878,29.05752,1197.467,0.007649019,0.171031,0.03738459,0.0009006376,-0.6015324,769,140,145.5772,4,23
4842.311,0,123.1388,11.95142,314.2763,0.815644,145.0724,31.66298,1024.316,0.036432,171.4878,28.11335,1341.534,0.00750239,0.1832807,0.03643879,0.0009414809,-1.14114,884,140,145.0724,3,23
4930.203,0,123.1388,11.8008,354.4413,0.815645,146.794,29.40273,1132.137,0.036432,171.4878,29.20933,1402.232,0.007588124,0.1710276,0.03433413,0.0009733022,-0.8648707,769,140,146.794,2,23
4742.198,0,123.1388,11.57409,339.5782,0.815644,147.8347,31.48087,1021.796,0.036432,171.4878,28.24392,1302.528,0.00739475,0.1710311,0.03728803,0.0008430575,-0.7567959,884,140,147.8347,4,23
4685.878,0,123.1388,10.70627,317.3807,0.815644,139.509,31.48087,949.4668,0.035328,171.4878,30.52695,1243.643,0.007722147,0.1852067,0.03738553,0.001071456,-1.752743,769,140,139.509,8,23
4761.867,0,123.1388,11.71759,349.0699,0.815644,145.1048,29.43924,1038.994,0.037536,171.4878,30.3777,1345.262,0.007490985,0.1710305,0.03738376,0.0008825983,-0.6256314,769,140,145.1048,3,23
4736.72,0,123.1388,11.10099,317.6924,0.815645,141.1162,29.43924,972.3661,0.035328,171.4878,29.20933,1219.274,0.007568446,0.1710376,0.03709625,0.0008764851,-1.430896,884,140,141.1162,5,23
4758.126,0,123.1388,11.8008,329.0214,0.815645,146.5604,31.66299,947.2329,0.037536,171.4878,28.10866,1337.088,0.007455237,0.1710327,0.03644149,0.0009261774,-1.53959,884,140,146.5604,5,23
4722.068,0,123.1388,10.70627,327.4365,0.815645,142.9211,28.542,1046.494,0.036432,171.4878,26.82196,1316.844,0.007531445,0.1710367,0.03709425,0.000902562,-0.9100364,769,140,142.9211,4,23
4906.126,0,123.1388,11.71759,368.9267,0.815645,145.5299,30.47982,1141.194,0.037536,171.4878,29.90832,1417.582,0.007657478,0.171035,0.03638562,0.0009230187,-1.002366,769,140,145.5299,3,23
4867.992,0,123.1388,11.71759,338.4118,0.815644,142.6748,31.48087,1045.889,0.037536,171.4878,30.3777,1382.145,0.007609759,0.1710331,0.03436225,0.00088918,-1.144941,884,140,142.6748,3,23
4891.445,0,123.1388,11.71759,348.4029,0.815645,144.4008,32.97991,1031.799,0.036432,171.4878,27.20139,1349.988,0.007494546,0.1710308,0.03643738,0.001011367,-1.559982,769,140,144.4008,5,23
4766.215,0,123.1388,11.6782,327.4809,0.815644,146.7773,29.43924,1128.576,0.040848,171.4878,28.10866,1308.524,0.007561087,0.1710311,0.03435213,0.000876492,-1.084208,769,140,146.7773,3,23
4740.03,0,123.1388,11.31616,333.3657,0.815644,147.3876,29.5862,1001.445,0.036432,171.4878,29.57892,1312.536,0.007503745,0.1887208,0.03644185,0.0009911145,-0.666156,769,140,147.3876,4,23
4712.922,0,123.1388,11.44706,322.1224,0.815644,141.1119,29.43924,983.3855,0.035328,171.4878,27.5994,1242.326,0.007608632,0.1710336,0.03644354,0.0009001122,-1.580228,769,140,141.1119,4,23
4737.089,0,123.1388,10.96458,325.9457,0.815644,148.6529,29.05052,964.6051,0.035328,171.4878,29.20933,1230.097,0.007361667,0.1710319,0.03708352,0.001074496,-1.017827,769,140,148.6529,5,23
4765.138,0,123.1388,11.44706,326.2053,0.815645,147.3143,29.05052,963.9006,0.036432,171.4878,30.52695,1254.45,0.007394996,0.1710339,0.03786838,0.0009408715,-1.135726,884,140,147.3143,3,23
4582.723,0,123.1388,10.61329,306.5997,0.815645,145.7618,29.07562,968.5619,0.034224,171.4878,28.94243,1186.051,0.007573715,0.1710311,0.03830572,0.0009359036,-0.4241344,769,140,145.7618,4,23
4692.385,0,123.1388,11.39217,319.1998,0.815644,146.1489,29.05052,926.4625,0.03312,170.2081,28.49556,1147.874,0.007540004,0.1710328,0.03738728,0.0009331008,-1.600214,769,140,146.1489,2,23
4671.498,0,123.1388,10.94561,316.4079,0.815644,139.2291,31.48087,937.2761,0.036432,171.4878,27.12474,1340.682,0.007660967,0.1732475,0.03738636,0.000972273,-1.588568,769,140,139.2291,3,23
4709.611,0,123.1388,11.71759,329.1712,0.815644,148.8603,29.05052,1023.786,0.035328,171.4878,29.20933,1287.413,0.007367634,0.3193963,0.03422619,0.001849933,-0.7667546,884,140,148.8603,6,23
4595.283,0,123.1388,10.67022,319.4893,0.815644,139.5024,29.05052,1011.045,0.035328,171.4878,28.4781,1231.288,0.007614951,0.2032242,0.0382998,0.001110269,-1.004783,884,140,139.5024,4,23
4686.527,0,123.1388,10.70627,326.6967,0.815645,141.0648,30.32199,927.9008,0.036432,171.4878,27.12474,1296.015,0.00757805,0.1733204,0.0373906,0.0009022034,-1.37129,884,140,141.0648,5,23
4801.411,0,123.1388,11.8008,330.4729,0.815644,148.4477,30.47982,1053.442,0.036432,174.8422,31.97249,1339.948,0.007507777,0.3181726,0.03434904,0.001432777,-1.287463,884,140,148.4477,4,23
4567.049,0,123.1388,10.96458,322.381,0.815644,143.3034,31.66298,903.0026,0.034224,171.4878,27.12474,1327.166,0.007522405,0.1747966,0.03837808,0.001108867,-2.031849,884,140,143.3034,6,23
4780.164,0,123.1388,11.84063,317.9543,0.815645,138.9558,31.66299,909.8083,0.036432,171.4878,27.24673,1276.092,0.007630831,0.1804065,0.03644717,0.001102046,-1.964085,884,140,138.9558,5,23
4824.624,0,123.1388,11.8008,325.324,0.815644,144.3188,31.48087,918.9013,0.036432,171.4878,27.12474,1334.064,0.007569936,0.1778427,0.03472939,0.0009179995,-1.897978,769,140,144.3188,3,23
4619.567,0,123.1388,10.70627,315.8347,0.815644,146.0003,29.05052,963.8816,0.035328,171.4878,26.89091,1268.582,0.007505634,0.1710387,0.03793436,0.0009887726,-0.8805359,769,140,146.0003,5,23
4747.369,0,123.1388,11.71759,329.0562,0.815644,143.4391,30.47982,977.6408,0.036432,171.4878,27.98813,1275.963,0.007506741,0.1723537,0.03693042,0.0009067204,-0.9317793,884,140,143.4391,2,23
4778.423,0,123.1388,11.71759,320.3088,0.815644,141.8459,30.47982,927.8902,0.036432,171.4878,28.12558,1198.488,0.007603617,0.1710294,0.03707796,0.0008710817,-1.246526,769,140,141.8459,2,23
4662.501,0,123.1388,11.71759,307.8541,0.815644,140.1914,30.78033,896.3411,0.036432,171.4878,27.84933,1261.987,0.007661278,0.1821326,0.03708761,0.000936449,-2.417544,769,140,140.1914,4,23
4593.748,0,123.1388,10.70627,311.986,0.815644,145.3394,31.48087,962.2809,0.036432,171.4878,29.20933,1291.918,0.00750753,0.1795473,0.03835875,0.0009576202,-2.160757,769,140,145.3394,4,23
4549.397,0,123.1388,10.45531,309.1965,0.815645,144.0312,28.542,918.647,0.034224,171.4878,26.65708,1301.248,0.007586037,0.2435125,0.03820786,0.001259826,-0.6696343,657,140,144.0312,6,23
4577.555,0,123.1388,10.70627,315.6995,0.815645,140.3983,28.542,947.6762,0.035328,171.4878,26.82196,1238.066,0.007599445,0.1784505,0.03831736,0.0010408,-1.204757,884,140,140.3983,5,23
4594.451,0,123.1388,10.70627,310.3669,0.815645,143.2887,28.542,928.4624,0.036432,171.4878,32.88478,1198.405,0.007711158,0.1710356,0.03787034,0.0009446425,-0.902911,769,140,143.2887,4,23
4629.701,0,123.1388,10.70627,310.1611,0.815644,145.1696,30.47982,933.165,0.035328,171.4878,27.98813,1126.752,0.007454108,0.1710378,0.03739496,0.0009755168,-0.9215774,884,140,145.1696,5,23
4756.609,0,123.1388,11.30542,337.8835,0.815644,146.4748,29.43924,1008.179,0.037536,171.4878,30.52695,1270.303,0.007459403,0.1710313,0.03732059,0.0009116696,-1.247612,769,140,146.4748,4,23
4770.449,0,123.1388,11.71759,327.5466,0.815644,146.8132,29.91664,965.2872,0.036432,171.4878,29.20933,1224.32,0.007410814,0.1710308,0.03687813,0.0008556491,-1.346279,884,140,146.8132,3,23
4736.396,0,123.1388,11.43355,319.5434,0.815644,145.0645,29.43924,957.8088,0.036432,171.4878,27.5994,1290.039,0.007602084,0.1710315,0.03708252,0.0008871998,-1.098765,769,140,145.0645,2,23
4589.649,0,123.1388,10.96458,291.9574,0.815645,147.7421,29.05052,914.3977,0.036432,160.7506,27.29244,1291.359,0.007492739,0.1710336,0.03617101,0.0008816555,-1.366649,884,140,147.7421,4,23
