tree_length,branch_length_min,branch_length_max,branch_length_median,branch_length_var,node_age_min,node_age_max,node_age_median,node_age_var,EDR_min,EDR_max,EDR_median,EDR_var,InverseES_min,InverseES_max,InverseES_median,InverseES_var,gamma_stat,Colless_index,num_lineages_surviving,root_age,n_sampled_anc,n_fossils
3149.124,0,93.68881,6.998214,156.9978,0.877452,112.1911,19.73498,587.7451,0.08568,168.1858,19.37162,744.8016,0.009714401,0.239546,0.05845235,0.001618683,-0.5168136,566,140,112.1911,2,23
3116.914,0,71.63719,7.385408,145.5933,0.194135,148.0982,17.73469,673.395,0.09536,207.5947,19.2232,1068.425,0.01284116,0.2584245,0.05923081,0.001514509,0.9878693,661,140,148.0982,5,23
3035.052,0,87.14143,6.55835,144.0667,1.017125,149.9779,17.06966,651.8255,0.048975,143.2257,15.55739,840.9497,0.01013361,0.2715521,0.05923239,0.001757102,0.8064288,620,140,149.9779,2,23
3008.319,0,96.73588,6.640766,175.4863,0.111521,109.6947,17.31416,559.0645,0.741664,113.0703,19.83096,540.5867,0.009688488,0.7595785,0.0597867,0.005876951,-0.04644008,702,140,109.6947,5,23
2905.271,0,97.46544,6.274711,165.8213,0.311037,113.8954,17.04729,638.355,0.9268,127.2147,18.2586,597.9039,0.009651658,0.2307768,0.06494814,0.002216858,0.2153748,781,140,113.8954,3,23
3045.437,0,78.53201,6.976805,142.6629,0.122299,149.9981,17.95162,671.2678,0.2118,120.2504,17.12186,723.7421,0.01094447,0.3045309,0.05847554,0.002066183,0.8316303,694,140,149.9981,2,23
2975.771,0,83.29328,6.477882,143.4108,0.051685,120.201,18.17347,551.0725,0.056265,187.6741,16.18942,790.5372,0.01137468,0.3192551,0.05979708,0.003154035,0.1325216,522,140,120.201,3,23
2984.051,0,87.02525,7.038935,145.7387,0.153646,123.4886,17.63911,586.2316,0.08445,186.4231,21.51044,619.1052,0.01044846,0.3049417,0.05593396,0.002297831,0.8987799,607,140,123.4886,4,23
3097.191,0,87.70407,7.508978,169.743,1.344376,149.9997,17.84832,704.3487,0.14564,205.7927,15.24415,1171.75,0.009863431,0.3076789,0.0582953,0.002053478,0.9291937,597,140,149.9997,3,23
3093.709,0,102.0536,7.475916,150.0356,0.658149,149.9811,19.77272,648.3732,0.178239,261.8822,18.64467,1262.23,0.008994637,0.2067724,0.0560874,0.001467399,0.992046,553,140,149.9811,3,23
