specimen	min_ma	max_ma
t295_1	0.02257535	0.06772605
t342_1	0.06799795	0.20399385
t33_1	0.0551719	0.1655157
t37_1	0.0724587	0.2173761
t179_1	0.2259772	0.6779316
t222_1	0.1667605	0.5002815
t36_1	0.32738925	0.98216775
t36_2	0.0379517	0.1138551
t269_1	0.329804154069669	2.08092004593033
t279_1	0.01121175	0.03363525
t196_1	0.647621354069669	2.39873724593033
t347_1	0.106287854069669	1.85740374593033
t32_1	0.4098488	1.2295464
t221_1	0.05208825	0.15626475
t15_1	0.31715485	0.95146455
t385_1	0.01879305	0.05637915
t365_1	0.30311015	0.90933045
t252_1	0.1943428	0.5830284
t180_1	0.0273366	0.0820098
t53_1	0.1416087	0.4248261
t53_2	0.11455845	0.34367535
t344_1	0.320593854069669	2.07170974593033
t266_1	0.249323754069669	2.00043964593033
t133_1	0.380824754069669	2.13194064593033
t394_1	1.61012075406967	3.36123664593033
t318_1	1.30217715406967	3.05329304593033
t27_1	1.53138875406967	3.28250464593033
t17_1	1.63694875406967	3.38806464593033
t285_1	2.76768845406967	4.51880434593033
t245_1	4.29690605406967	6.04802194593033
t255_1	6.31314255406967	8.06425844593033
t406_1	7.88002155406967	9.63113744593033
t409_1	6.92312855406967	8.67424444593033
t411_1	6.40031825406967	8.15143414593033
t428_1	4.40421545406967	6.15533134593033
t464_1	3.24525205406967	4.99636794593033
t487_1	2.62912925406967	4.38024514593033
t513_1	1.70151165406967	3.45262754593033
t514_1	1.79910785406967	3.55022374593033
t533_1	1.52815085406967	3.27926674593033
t582_1	0.813711954069669	2.56482784593033
t655_1	1.24518345406967	2.99629934593033
t687_1	0.195257054069669	1.94637294593033
t749_1	0.0826952540696687	1.83381114593033
t769_1	0.17197955	0.51593865
t778_1	0.428548054069669	2.17966394593033
t786_1	0.2303376	0.6910128
t809_1	0.3321292	0.9963876
