SimID,Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Segregating-Sites,Max GC,Max GC Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min GC,Min GC Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Mean GC,Mean GC Excluding Ambiguous,Mean GC 1,Mean GC 1 Excluding Ambiguous,Mean GC 2,Mean GC 2 Excluding Ambiguous,Mean GC 3,Mean GC 3 Excluding Ambiguous,Var GC,Var GC Excluding Ambiguous,Var GC 1,Var GC 1 Excluding Ambiguous,Var GC 2,Var GC 2 Excluding Ambiguous,Var GC 3,Var GC 3 Excluding Ambiguous,Theta,Tajima-D,Tajima-Pi,Multinomial-Likelihood
97,35,977,1841,0.1146055,0.1243942,3,12,316,1832,512,9,0,0.0923825,0,0,26,471,0.01497868,-nan,0.01447969,-nan,0.01651429,-nan,0.01394286,-nan,0.0009585958,-nan,0.0009034649,-nan,0.001087365,-nan,0.000910597,-nan,0.1779316,-3.242507,0.003948836,-8350.639
98,35,926,1841,0.1050107,0.1082391,3,20,321,1832,512,9,0,0.08239095,0,0,26,459,0.01390116,-nan,0.01299635,-nan,0.01395429,-nan,0.01475429,-nan,0.000855008,-nan,0.0007378714,-nan,0.0008927242,-nan,0.0009639254,-nan,0.1779316,-3.241008,0.004029314,-8655.156
99,35,1008,1841,0.1167377,0.1211632,3,9,314,1832,512,9,0,0.09693053,0,0,26,463,0.01533658,-nan,0.01575764,-nan,0.01550857,-nan,0.01474286,-nan,0.001017297,-nan,0.001214237,-nan,0.001045765,-nan,0.0008403351,-nan,0.1779316,-3.246355,0.00374241,-8217.45
100,35,968,1841,0.1092751,0.1324717,3,11,318,1832,512,8,0,0.09404046,0,0,26,485,0.01486826,-nan,0.01668188,-nan,0.01552,-nan,0.0124,-nan,0.0008943079,-nan,0.001099536,-nan,0.00102432,-nan,0.000620777,-nan,0.1779316,-3.24335,0.003903639,-8392.552
101,35,967,1841,0.1140725,0.1276252,3,9,311,1832,512,11,0,0.1033926,0,0,26,446,0.01563737,-nan,0.01680739,-nan,0.01541714,-nan,0.01468571,-nan,0.001020008,-nan,0.001228015,-nan,0.0009327686,-nan,0.0009316657,-nan,0.1779316,-3.245004,0.003814889,-8411.527
102,35,961,1841,0.1204691,0.1235648,3,12,320,1832,512,9,0,0.09369952,0,0,26,469,0.01500152,-nan,0.01645367,-nan,0.01308571,-nan,0.01546286,-nan,0.0009938386,-nan,0.001147247,-nan,0.0008082332,-nan,0.001062772,-nan,0.1779316,-3.242746,0.003936017,-8508.196
103,35,942,1841,0.1140725,0.1211632,3,8,325,1832,512,10,0,0.0904685,0,0,26,481,0.01477307,-nan,0.01550662,-nan,0.01434286,-nan,0.01446857,-nan,0.00095019,-nan,0.0009474623,-nan,0.0009331812,-nan,0.0009972166,-nan,0.1779316,-3.244725,0.003829845,-8582.482
104,35,987,1841,0.1226013,0.1521036,3,12,329,1832,512,10,0,0.09693053,0,0,26,462,0.01649787,-nan,0.01554085,-nan,0.01804571,-nan,0.01590857,-nan,0.00113794,-nan,0.001055313,-nan,0.001265711,-nan,0.00111873,-nan,0.1779316,-3.241284,0.004014467,-8408.117
105,35,1029,1841,0.1146055,0.1294498,3,10,300,1832,512,15,0,0.09531502,0,0,26,450,0.01510813,-nan,0.01535828,-nan,0.0144,-nan,0.01556571,-nan,0.0009868565,-nan,0.0009963725,-nan,0.0008569922,-nan,0.001135345,-nan,0.1779316,-3.24753,0.003679353,-8095.615
106,35,1006,1841,0.1146055,0.1276252,3,11,300,1832,512,8,0,0.09854604,0,0,26,469,0.01566783,-nan,0.01445687,-nan,0.01812571,-nan,0.01442286,-nan,0.001019919,-nan,0.0008786484,-nan,0.00139866,-nan,0.0008491091,-nan,0.1779316,-3.249249,0.003587097,-8275.709
